34 - Details Of Assembly Segment Of PC,,,,,,,,,,,
State/UT Name,PC NO,PC NAME,TOTAL ELECTORS IN PC,AC NO,AC NAME,TOTAL ELECTORS IN AC,TOTAL VALID VOTES IN STATE,NOTA VOTES EVM IN AC,CANDIDATE NAME,PARTY,VOTES SECURED EVM
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,KAYA DURGARAO,NRCP,120
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,BOMMALI TIRUPATI RAO,PPOI,75
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,BORUBADRA CHANDRAKALA,BCYP,125
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,CHELLURI DANIYAL,IND,105
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,BETHA VIVEKANANDA MAHARAJ,IND,121
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,YEDDU LAKSHMINARAYANA,IND,225
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,VABA YOGESWARA RAO,IND,800
Andhra Pradesh,2,Srikakulam,1646686,8,Narasannapeta,217094,33327256,3888,SANAPALA SRAVAN KUMAR,IND,841
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,APPALANAIDU KALISETTI,TDP,110442
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,PEERUBANDI PRAKASH RAO,BSP,1018
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,BELLANA CHANDRASEKHAR,YSRCP,81533
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,BOBBILI SRINU,INC,1496
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,ATCHIYYA NAIDU SAMIREDDY,SP,173
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,CHINNAM ARUNA KUMAR,JRBP,516
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,VANGAPANDU MAHESWARA RAO,NBBHNRSVP,154
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,SRINIVASA RAO SAMBHANA (VASU),YGATLSIP,210
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,SAKHINETI ANANTHA RAJU,PPOI,123
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,ALLU SRIRAMULU,IND,375
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,ADINARAYANA TADDI,IND,132
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,P V A ANANDA SAGAR,IND,130
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,MARISERLA KRISHNAMURTHY NAIDU,IND,288
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,VELURI VENKATA TRINADHARAO,IND,990
